speed,shield_distance,algorithm,timeLoss,lateral_collisions,rear_end_collisions
30,0,trpo,55.44,328,77
30,0,trpo,54.54,324,62
30,0,trpo,54.02,326,68
30,0,trpo,52.72,302,63
30,0,trpo,55.24,303,86
30,0,trpo,54.54,344,63
30,0,trpo,55.58,340,62
30,0,trpo,55.9,325,70
30,0,trpo,54.98,307,61
30,0,trpo,52.76,334,67
30,0,trpo,52.89,348,67
30,0,trpo,53.21,284,73
30,0,trpo,52.44,319,67
30,0,trpo,54.79,326,59
30,0,trpo,55.04,319,65
30,0,trpo,53.97,341,64
30,0,trpo,55.14,335,71
30,0,trpo,55.43,327,82
30,0,trpo,54.97,354,77
30,0,trpo,55.93,337,72
30,0,trpo,55.85,313,81
30,0,trpo,52.33,297,74
30,0,trpo,54.06,324,62
30,0,trpo,51.84,290,84
30,0,trpo,52.71,309,61
30,0,trpo,54.44,303,73
30,0,trpo,55.54,341,74
30,0,trpo,55.84,304,72
30,0,trpo,54.7,331,75
30,0,trpo,55.53,287,85
30,0,trpo,55.33,312,86
30,0,trpo,52.76,317,80
30,0,trpo,54.92,306,87
30,0,trpo,55.54,312,52
30,0,trpo,54.59,339,68
30,0,trpo,54.11,298,63
30,0,trpo,52.66,299,68
30,0,trpo,53.81,303,81
30,0,trpo,51.06,311,82
30,0,trpo,56.02,320,59
30,0,trpo,51.92,329,80
30,0,trpo,52.07,318,67
30,0,trpo,53.86,331,66
30,0,trpo,55.59,298,74
30,0,trpo,56.08,324,86
30,0,trpo,53.01,285,82
30,0,trpo,54.48,332,63
30,0,trpo,55.2,341,76
30,0,trpo,54.23,312,62
30,0,trpo,52.56,344,79
30,0,trpo,54.5,327,75
30,0,trpo,56.15,324,74
30,0,trpo,54.8,329,71
30,0,trpo,56.18,328,83
30,0,trpo,52.06,317,56
30,0,trpo,55.27,327,71
30,0,trpo,55.35,346,83
30,0,trpo,52.41,299,85
30,0,trpo,56.48,309,90
30,0,trpo,52.69,300,84
30,0,trpo,52.21,346,62
30,0,trpo,52.42,315,70
30,0,trpo,53.38,319,73
30,0,trpo,55.88,316,58
30,0,trpo,53.62,316,81
30,0,trpo,55.69,306,72
30,0,trpo,54.95,328,79
30,0,trpo,53.8,337,65
30,0,trpo,55.27,291,92
30,0,trpo,55.39,319,48
30,0,trpo,55.73,335,74
30,0,trpo,55.92,346,70
30,0,trpo,53.88,294,56
30,0,trpo,55.29,312,73
30,0,trpo,52.26,312,75
30,0,trpo,54.45,305,62
30,0,trpo,46.51,288,73
30,0,trpo,52.79,333,58
30,0,trpo,55.15,315,68
30,0,trpo,50.75,326,72
30,0,trpo,54.52,338,75
30,0,trpo,55.17,324,75
30,0,trpo,56.3,343,82
30,0,trpo,55.03,320,79
30,0,trpo,54.91,304,85
30,0,trpo,55.64,335,71
30,0,trpo,54.09,334,66
30,0,trpo,52.98,329,73
30,0,trpo,54.67,282,79
30,0,trpo,50.46,316,57
30,0,trpo,54.05,318,76
30,0,trpo,54.73,348,71
30,0,trpo,55.3,336,78
30,0,trpo,54.79,323,81
30,0,trpo,53.32,309,69
30,0,trpo,55.3,311,69
30,0,trpo,55.77,314,84
30,0,trpo,54.64,322,66
30,0,trpo,55.4,311,63
30,0,trpo,53.54,290,88
30,0,trpo,53.49,305,67
30,0,trpo,52.77,302,75
30,0,trpo,56.59,337,75
30,0,trpo,55.57,310,69
30,0,trpo,53.84,312,61
30,0,trpo,52.3,276,76
30,0,trpo,55.77,326,73
30,0,trpo,53.48,350,63
30,0,trpo,55.37,358,77
30,0,trpo,56.44,304,67
30,0,trpo,54.32,326,62
30,0,trpo,54.18,302,83
30,0,trpo,56.01,294,89
30,0,trpo,55.17,317,67
30,0,trpo,52.63,294,69
30,0,trpo,55.28,306,81
30,0,trpo,53.71,299,63
30,0,trpo,51.56,307,72
30,0,trpo,53.19,303,77
30,0,trpo,54.41,301,63
30,0,trpo,53.72,319,67
30,0,trpo,53.03,305,65
30,0,trpo,56.78,271,55
30,0,trpo,52.81,303,81
30,0,trpo,54.14,322,65
30,0,trpo,54.63,304,63
30,0,trpo,54.32,284,85
30,0,trpo,53.76,302,73
30,0,trpo,55.35,324,71
30,0,trpo,56.18,313,72
30,0,trpo,54.54,347,54
30,0,trpo,55.58,349,66
30,0,trpo,56.28,285,74
30,0,trpo,54.68,336,65
30,0,trpo,55.44,289,75
30,0,trpo,51.81,312,62
30,0,trpo,55.5,333,67
30,0,trpo,55.78,343,73
30,0,trpo,54.76,339,88
30,0,trpo,54.62,325,77
30,0,trpo,53.17,331,73
30,0,trpo,55.46,313,70
30,0,trpo,55.81,342,69
30,0,trpo,53.42,321,64
30,0,trpo,52.38,306,68
30,0,trpo,53.71,326,67
30,0,trpo,55.02,315,74
30,0,trpo,54.15,313,59
30,0,trpo,54.56,331,66
30,0,trpo,53.03,324,66
30,0,trpo,55.46,324,66
30,0,trpo,55.87,321,81
30,0,trpo,53.33,308,70
30,0,trpo,52.7,340,60
30,0,trpo,52.94,277,62
30,0,trpo,55.8,299,62
30,0,trpo,54.0,310,60
30,0,trpo,55.02,320,63
30,0,trpo,56.41,319,58
30,0,trpo,53.8,321,69
30,0,trpo,54.69,314,75
30,0,trpo,50.63,308,60
30,0,trpo,55.01,304,55
30,0,trpo,54.86,292,52
30,0,trpo,53.96,304,70
30,0,trpo,54.65,322,77
30,0,trpo,55.62,306,82
30,0,trpo,56.1,336,66
30,0,trpo,54.49,332,89
30,0,trpo,55.88,329,64
30,0,trpo,55.1,337,57
30,0,trpo,55.69,300,77
30,0,trpo,55.18,315,63
30,0,trpo,55.54,334,76
30,0,trpo,53.86,325,69
30,0,trpo,56.0,293,56
30,0,trpo,56.35,322,79
30,0,trpo,55.91,294,58
30,0,trpo,53.48,308,55
30,0,trpo,54.88,344,71
30,0,trpo,55.19,319,65
30,0,trpo,53.84,303,68
30,0,trpo,56.07,324,67
30,0,trpo,50.84,299,65
30,0,trpo,52.51,334,75
30,0,trpo,52.95,296,73
30,0,trpo,51.89,307,70
30,0,trpo,52.79,285,86
30,0,trpo,53.3,299,75
30,0,trpo,55.68,326,70
30,0,trpo,55.41,332,85
30,0,trpo,55.06,352,70
30,0,trpo,54.82,292,75
30,0,trpo,54.79,294,76
30,0,trpo,53.72,301,83
30,0,trpo,55.99,336,93
30,0,trpo,53.24,328,67
30,0,trpo,55.37,327,68
30,0,trpo,54.2,315,74
30,0,trpo,51.01,315,51
30,0,trpo,52.97,323,72
30,0,trpo,52.86,316,75
30,0,trpo,55.4,319,69
30,0,trpo,53.23,334,72
30,0,trpo,56.46,310,58
30,0,trpo,56.15,314,58
30,0,trpo,55.88,293,72
30,0,trpo,55.56,345,76
30,0,trpo,53.77,332,50
30,0,trpo,54.35,335,78
30,0,trpo,54.82,297,74
30,0,trpo,53.38,293,63
30,0,trpo,54.33,326,73
30,0,trpo,55.25,299,70
30,0,trpo,55.5,351,74
30,0,trpo,55.04,307,72
30,0,trpo,55.96,326,76
30,0,trpo,53.1,294,69
30,0,trpo,54.72,305,70
30,0,trpo,54.52,340,65
30,0,trpo,54.29,313,61
30,0,trpo,52.66,316,71
30,0,trpo,55.38,306,72
30,0,trpo,54.62,329,82
30,0,trpo,54.82,322,73
30,0,trpo,55.5,333,82
30,0,trpo,53.48,292,94
30,0,trpo,54.41,322,59
30,0,trpo,56.23,349,86
30,0,trpo,50.52,323,64
30,0,trpo,55.43,273,84
30,0,trpo,53.94,312,68
30,0,trpo,54.69,309,80
30,0,trpo,55.04,307,77
30,0,trpo,54.58,305,77
30,0,trpo,54.55,289,76
30,0,trpo,55.97,325,64
30,0,trpo,55.14,303,58
30,0,trpo,54.8,315,78
30,0,trpo,56.04,299,90
30,0,trpo,54.12,304,66
30,0,trpo,49.02,323,85
30,0,trpo,56.03,324,69
30,0,trpo,53.79,327,73
30,0,trpo,55.85,311,71
30,0,trpo,55.97,306,66
30,0,trpo,55.01,307,64
30,0,trpo,54.52,324,66
30,0,trpo,52.09,293,86
50,100,a2c,32.72,49,36
50,100,a2c,25.27,39,19
50,100,a2c,51.01,58,27
50,100,a2c,35.28,59,28
50,100,a2c,33.84,26,34
50,100,a2c,36.15,36,27
50,100,a2c,26.13,41,31
50,100,a2c,25.9,56,24
50,100,a2c,55.17,56,33
50,100,a2c,39.91,43,37
50,100,a2c,25.64,39,30
50,100,a2c,51.14,75,34
50,100,a2c,34.02,55,20
50,100,a2c,53.92,55,42
50,100,a2c,60.34,58,44
50,100,a2c,61.46,64,33
50,100,a2c,35.52,62,31
50,100,a2c,57.12,54,42
50,100,a2c,24.83,39,28
50,100,a2c,58.68,70,37
50,100,a2c,31.61,43,24
50,100,a2c,56.17,80,34
50,100,a2c,46.56,53,30
50,100,a2c,29.04,22,19
50,100,a2c,61.5,71,38
50,100,a2c,62.57,71,33
50,100,a2c,28.88,46,20
50,100,a2c,43.12,61,36
50,100,a2c,30.14,57,26
50,100,a2c,43.09,43,39
50,100,a2c,21.88,58,36
50,100,a2c,55.87,62,34
50,100,a2c,26.06,45,29
50,100,a2c,29.05,50,34
50,100,a2c,24.02,50,25
50,100,a2c,63.84,64,26
50,100,a2c,49.44,59,40
50,100,a2c,36.89,46,27
50,100,a2c,51.9,58,32
50,100,a2c,54.78,54,32
50,100,a2c,54.61,62,44
50,100,a2c,29.32,51,26
50,100,a2c,49.32,60,39
50,100,a2c,23.08,53,27
50,100,a2c,56.05,46,30
50,100,a2c,56.95,57,31
50,100,a2c,52.16,58,27
50,100,a2c,22.93,43,29
50,100,a2c,49.27,65,34
50,100,a2c,56.96,73,31
50,100,a2c,44.09,72,35
50,100,a2c,51.12,79,42
50,100,a2c,39.75,50,40
50,100,a2c,45.98,55,37
50,100,a2c,33.38,65,29
50,100,a2c,64.16,75,36
50,100,a2c,46.36,50,39
50,100,a2c,62.24,52,30
50,100,a2c,47.94,50,38
50,100,a2c,51.29,48,49
50,100,a2c,32.86,34,31
50,100,a2c,28.0,32,39
50,100,a2c,42.8,52,32
50,100,a2c,63.68,65,30
50,100,a2c,59.69,45,32
50,100,a2c,64.2,58,34
50,100,a2c,42.69,50,30
50,100,a2c,62.1,67,40
50,100,a2c,21.03,55,32
50,100,a2c,62.77,62,36
50,100,a2c,39.58,53,33
50,100,a2c,23.95,45,20
50,100,a2c,28.0,41,33
50,100,a2c,34.95,46,39
50,100,a2c,62.24,66,28
50,100,a2c,51.29,61,45
50,100,a2c,22.65,40,32
50,100,a2c,24.91,54,24
50,100,a2c,59.29,56,25
50,100,a2c,30.87,56,27
50,100,a2c,25.43,66,32
50,100,a2c,34.62,43,31
50,100,a2c,41.01,60,32
50,100,a2c,30.13,39,33
50,100,a2c,52.18,55,30
50,100,a2c,34.24,49,32
50,100,a2c,53.13,61,42
50,100,a2c,43.81,48,30
50,100,a2c,22.53,30,36
50,100,a2c,35.09,56,37
50,100,a2c,33.55,71,28
50,100,a2c,38.9,54,28
50,100,a2c,55.78,57,36
50,100,a2c,57.23,58,45
50,100,a2c,20.73,45,25
50,100,a2c,54.54,51,36
50,100,a2c,53.41,67,33
50,100,a2c,57.1,67,31
50,100,a2c,48.32,59,30
50,100,a2c,22.9,49,25
50,100,a2c,23.54,38,35
50,100,a2c,22.43,45,34
50,100,a2c,60.23,62,34
50,100,a2c,21.68,47,25
50,100,a2c,62.56,76,28
50,100,a2c,53.97,52,36
50,100,a2c,62.49,55,28
50,100,a2c,47.77,51,32
50,100,a2c,59.87,45,33
50,100,a2c,48.73,62,37
50,100,a2c,32.1,41,26
50,100,a2c,59.57,60,35
50,100,a2c,41.16,50,20
50,100,a2c,63.59,55,44
50,100,a2c,55.47,57,39
50,100,a2c,21.7,38,31
50,100,a2c,30.17,50,28
50,100,a2c,36.85,69,26
50,100,a2c,36.79,44,20
50,100,a2c,62.82,59,32
50,100,a2c,47.37,56,28
50,100,a2c,54.88,55,40
50,100,a2c,25.49,38,26
50,100,a2c,36.11,53,35
50,100,a2c,36.85,38,29
50,100,a2c,41.3,55,22
50,100,a2c,37.02,49,24
50,100,a2c,46.94,63,26
50,100,a2c,27.04,57,25
50,100,a2c,56.42,67,30
50,100,a2c,51.55,49,36
50,100,a2c,59.37,55,35
50,100,a2c,58.1,54,35
50,100,a2c,57.31,59,27
50,100,a2c,35.57,51,35
50,100,a2c,39.66,61,39
50,100,a2c,24.98,43,33
50,100,a2c,49.63,62,38
50,100,a2c,36.17,54,29
50,100,a2c,22.23,31,35
50,100,a2c,42.66,55,27
50,100,a2c,62.77,70,42
50,100,a2c,57.39,69,38
50,100,a2c,35.79,39,32
50,100,a2c,35.23,66,16
50,100,a2c,61.21,66,33
50,100,a2c,58.91,48,29
50,100,a2c,44.75,70,30
50,100,a2c,57.22,44,36
50,100,a2c,47.14,49,31
50,100,a2c,62.88,83,32
50,100,a2c,46.2,71,38
50,100,a2c,49.9,56,22
50,100,a2c,55.02,67,35
50,100,a2c,24.39,45,30
50,100,a2c,41.68,51,24
50,100,a2c,45.88,49,38
50,100,a2c,51.15,43,30
50,100,a2c,41.19,58,26
50,100,a2c,57.18,75,44
50,100,a2c,22.23,37,24
50,100,a2c,42.87,53,33
50,100,a2c,64.64,81,26
50,100,a2c,52.18,49,38
50,100,a2c,39.62,57,42
50,100,a2c,25.43,48,23
50,100,a2c,50.39,48,24
50,100,a2c,26.27,53,26
50,100,a2c,39.35,41,26
50,100,a2c,47.97,48,36
50,100,a2c,62.74,74,26
50,100,a2c,25.86,53,31
50,100,a2c,53.6,60,26
50,100,a2c,31.23,45,30
50,100,a2c,52.85,55,56
50,100,a2c,36.38,43,27
50,100,a2c,43.3,51,30
50,100,a2c,56.22,53,42
50,100,a2c,27.69,39,25
50,100,a2c,62.01,82,40
50,100,a2c,56.19,42,25
50,100,a2c,48.22,68,23
50,100,a2c,60.66,61,31
50,100,a2c,24.53,49,20
50,100,a2c,32.72,55,33
50,100,a2c,49.63,56,40
50,100,a2c,58.91,52,35
50,100,a2c,47.39,65,29
50,100,a2c,65.83,67,26
50,100,a2c,48.18,60,38
50,100,a2c,33.76,50,45
50,100,a2c,31.48,30,21
50,100,a2c,49.84,54,29
50,100,a2c,47.41,59,51
50,100,a2c,56.39,66,44
50,100,a2c,31.05,39,27
50,100,a2c,31.42,58,43
50,100,a2c,56.2,67,26
50,100,a2c,22.63,48,21
50,100,a2c,27.71,47,31
50,100,a2c,56.95,69,39
50,100,a2c,59.14,54,47
50,100,a2c,43.24,75,29
50,100,a2c,24.42,52,34
50,100,a2c,29.73,39,33
50,100,a2c,55.01,65,38
50,100,a2c,60.82,63,38
50,100,a2c,23.85,24,35
50,100,a2c,48.03,69,33
50,100,a2c,37.54,58,32
50,100,a2c,46.27,50,31
50,100,a2c,49.2,51,37
50,100,a2c,67.56,70,26
50,100,a2c,41.71,50,25
50,100,a2c,35.89,47,28
50,100,a2c,34.61,41,26
50,100,a2c,62.03,59,40
50,100,a2c,27.29,52,38
50,100,a2c,20.47,39,21
50,100,a2c,57.93,68,38
50,100,a2c,35.08,58,35
50,100,a2c,55.45,39,38
50,100,a2c,65.8,73,46
50,100,a2c,20.04,52,20
50,100,a2c,29.16,30,28
50,100,a2c,62.58,58,29
50,100,a2c,37.66,59,24
50,100,a2c,21.45,51,31
50,100,a2c,36.73,57,27
50,100,a2c,60.91,64,29
50,100,a2c,26.1,46,36
50,100,a2c,39.79,44,29
50,100,a2c,69.15,49,30
50,100,a2c,59.84,82,31
50,100,a2c,59.73,75,30
50,100,a2c,32.38,50,25
50,100,a2c,25.2,38,28
50,100,a2c,49.0,58,26
50,100,a2c,60.54,70,41
50,100,a2c,49.63,67,30
50,100,a2c,45.68,70,24
50,100,a2c,29.8,44,29
50,100,a2c,49.34,72,34
50,100,a2c,58.43,50,28
50,100,a2c,25.86,50,21
50,100,a2c,47.55,48,27
50,100,a2c,59.84,77,36
50,100,a2c,45.01,56,33
50,100,a2c,67.26,64,29
50,100,a2c,48.3,68,34
50,100,a2c,41.17,55,26
50,100,a2c,42.18,53,36
50,100,a2c,25.58,40,39
50,100,a2c,26.92,40,31
50,100,a2c,56.42,68,22
50,100,a2c,45.38,48,21
50,100,a2c,62.07,66,32
50,100,a2c,34.22,46,42
50,100,a2c,54.56,72,31
50,100,a2c,34.22,37,30
50,100,a2c,60.64,67,30
50,100,a2c,50.59,62,26
50,100,a2c,55.68,56,37
50,100,a2c,56.67,62,30
50,100,a2c,41.42,71,39
50,100,a2c,46.34,55,23
50,100,a2c,48.54,44,30
50,100,a2c,28.85,41,34
